DOB,AGE,DATE,population,Cumulative,Rank
9/28/2013,95,1/1/2014,370387,35186753,35001559.94
9/27/2013,96,1/1/2014,370387,35557140,35371946.82
9/26/2013,97,1/1/2014,370387,35927527,35742333.69
9/25/2013,98,1/1/2014,370387,36297914,36112720.57
9/24/2013,99,1/1/2014,370387,36668301,36483107.45
9/23/2013,100,1/1/2014,370387,37038688,36853494.33
9/22/2013,101,1/1/2014,370387,37409075,37223881.21
9/21/2013,102,1/1/2014,370387,37779462,37594268.08
9/20/2013,103,1/1/2014,370387,38149848,37964654.96
9/19/2013,104,1/1/2014,370387,38520235,38335041.84
9/18/2013,105,1/1/2014,370387,38890622,38705428.72
9/17/2013,106,1/1/2014,370387,39261009,39075815.59
9/16/2013,107,1/1/2014,370387,39631396,39446202.47
9/15/2013,108,1/1/2014,370387,40001783,39816589.35
9/14/2013,109,1/1/2014,370387,40372170,40186976.23
9/13/2013,110,1/1/2014,370387,40742557,40557363.1
9/12/2013,111,1/1/2014,370387,41112943,40927749.98
9/11/2013,112,1/1/2014,370387,41483330,41298136.86
9/10/2013,113,1/1/2014,370387,41853717,41668523.74
9/9/2013,114,1/1/2014,370387,42224104,42038910.62
9/8/2013,115,1/1/2014,370387,42594491,42409297.49
9/7/2013,116,1/1/2014,370387,42964878,42779684.37
9/6/2013,117,1/1/2014,370387,43335265,43150071.25
9/5/2013,118,1/1/2014,370387,43705652,43520458.13
9/4/2013,119,1/1/2014,370387,44076038,43890845
9/3/2013,120,1/1/2014,370387,44446425,44261231.88
9/2/2013,121,1/1/2014,370387,44816812,44631618.76
9/1/2013,122,1/1/2014,370387,45187199,45002005.64
8/31/2013,123,1/1/2014,370387,45557586,45372392.51
8/30/2013,124,1/1/2014,370387,45927973,45742779.39
8/29/2013,125,1/1/2014,370387,46298360,46113166.27
8/28/2013,126,1/1/2014,370387,46668747,46483553.15
8/27/2013,127,1/1/2014,370387,47039133,46853940.02
8/26/2013,128,1/1/2014,370387,47409520,47224326.9
8/25/2013,129,1/1/2014,370387,47779907,47594713.78
8/24/2013,130,1/1/2014,370387,48150294,47965100.66
8/23/2013,131,1/1/2014,370387,48520681,48335487.54
8/22/2013,132,1/1/2014,370387,48891068,48705874.41
8/21/2013,133,1/1/2014,370387,49261455,49076261.29
8/20/2013,134,1/1/2014,370387,49631842,49446648.17
8/19/2013,135,1/1/2014,370387,50002228,49817035.05
8/18/2013,136,1/1/2014,370387,50372615,50187421.92
8/17/2013,137,1/1/2014,370387,50743002,50557808.8
8/16/2013,138,1/1/2014,370387,51113389,50928195.68
8/15/2013,139,1/1/2014,370387,51483776,51298582.56
8/14/2013,140,1/1/2014,370387,51854163,51668969.43
8/13/2013,141,1/1/2014,370387,52224550,52039356.31
8/12/2013,142,1/1/2014,370387,52594937,52409743.19
8/11/2013,143,1/1/2014,370387,52965324,52780130.07
8/10/2013,144,1/1/2014,370387,53335710,53150516.95
8/9/2013,145,1/1/2014,370387,53706097,53520903.82
8/8/2013,146,1/1/2014,370387,54076484,53891290.7
8/7/2013,147,1/1/2014,370387,54446871,54261677.58
8/6/2013,148,1/1/2014,370387,54817258,54632064.46
8/5/2013,149,1/1/2014,370387,55187645,55002451.33
8/4/2013,150,1/1/2014,370387,55558032,55372838.21
8/3/2013,151,1/1/2014,370387,55928419,55743225.09
8/2/2013,152,1/1/2014,370387,56298805,56113611.97
8/1/2013,153,1/1/2014,370387,56669192,56483998.84
7/31/2013,154,1/1/2014,370387,57039579,56854385.72
7/30/2013,155,1/1/2014,370387,57409966,57224772.6
7/29/2013,156,1/1/2014,370387,57780353,57595159.48
7/28/2013,157,1/1/2014,370387,58150740,57965546.35
7/27/2013,158,1/1/2014,370387,58521127,58335933.23
7/26/2013,159,1/1/2014,370387,58891514,58706320.11
7/25/2013,160,1/1/2014,370387,59261900,59076706.99
7/24/2013,161,1/1/2014,370387,59632287,59447093.87
7/23/2013,162,1/1/2014,370387,60002674,59817480.74
7/22/2013,163,1/1/2014,370387,60373061,60187867.62
7/21/2013,164,1/1/2014,370387,60743448,60558254.5
7/20/2013,165,1/1/2014,370387,61113835,60928641.38
7/19/2013,166,1/1/2014,370387,61484222,61299028.25
7/18/2013,167,1/1/2014,370387,61854609,61669415.13
7/17/2013,168,1/1/2014,370387,62224995,62039802.01
7/16/2013,169,1/1/2014,370387,62595382,62410188.89
7/15/2013,170,1/1/2014,370387,62965769,62780575.76
7/14/2013,171,1/1/2014,370387,63336156,63150962.64
7/13/2013,172,1/1/2014,370387,63706543,63521349.52
7/12/2013,173,1/1/2014,370387,64076930,63891736.4
7/11/2013,174,1/1/2014,370387,64447317,64262123.28
7/10/2013,175,1/1/2014,370387,64817704,64632510.15
7/9/2013,176,1/1/2014,370387,65188090,65002897.03
7/8/2013,177,1/1/2014,370387,65558477,65373283.91
7/7/2013,178,1/1/2014,370387,65928864,65743670.79
7/6/2013,179,1/1/2014,370387,66299251,66114057.66
7/5/2013,180,1/1/2014,370387,66669638,66484444.54
7/4/2013,181,1/1/2014,370387,67040025,66854831.42
7/3/2013,182,1/1/2014,370387,67410412,67225218.3
7/2/2013,183,1/1/2014,369493,67779905,67595158.38
7/1/2013,184,1/1/2014,369484,68149389,67964646.78
6/30/2013,185,1/1/2014,369474,68518862,68334125.4
6/29/2013,186,1/1/2014,369464,68888326,68703594.23
6/28/2013,187,1/1/2014,369454,69257780,69073053.29
6/27/2013,188,1/1/2014,369444,69627225,69442502.56
6/26/2013,189,1/1/2014,369435,69996659,69811942.05
6/25/2013,190,1/1/2014,369425,70366084,70181371.77
6/24/2013,191,1/1/2014,369415,70735499,70550791.7
6/23/2013,192,1/1/2014,369405,71104904,70920201.86
6/22/2013,193,1/1/2014,369395,71474300,71289602.23
6/21/2013,194,1/1/2014,369386,71843686,71658992.83
6/20/2013,195,1/1/2014,369376,72213062,72028373.64
6/19/2013,196,1/1/2014,369366,72582428,72397744.68
6/18/2013,197,1/1/2014,369356,72951784,72767105.94
6/17/2013,198,1/1/2014,369347,73321131,73136457.42
6/16/2013,199,1/1/2014,369337,73690468,73505799.13
6/15/2013,200,1/1/2014,369327,74059795,73875131.05
6/14/2013,201,1/1/2014,369317,74429112,74244453.2
6/13/2013,202,1/1/2014,369307,74798419,74613765.57
6/12/2013,203,1/1/2014,369298,75167717,74983068.17
6/11/2013,204,1/1/2014,369288,75537005,75352360.98
6/10/2013,205,1/1/2014,369278,75906283,75721644.03
6/9/2013,206,1/1/2014,369268,76275551,76090917.29
6/8/2013,207,1/1/2014,369259,76644810,76460180.78
6/7/2013,208,1/1/2014,369249,77014059,76829434.5
6/6/2013,209,1/1/2014,369239,77383298,77198678.44
6/5/2013,210,1/1/2014,369229,77752527,77567912.6
6/4/2013,211,1/1/2014,369220,78121747,77937136.99
6/3/2013,212,1/1/2014,369210,78490956,78306351.61
6/2/2013,213,1/1/2014,369200,78860156,78675556.45
6/1/2013,214,1/1/2014,369190,79229347,79044751.52
5/31/2013,215,1/1/2014,369180,79598527,79413936.81
5/30/2013,216,1/1/2014,369171,79967698,79783112.33
5/29/2013,217,1/1/2014,369161,80336859,80152278.08
5/28/2013,218,1/1/2014,369151,80706010,80521434.05
5/27/2013,219,1/1/2014,369141,81075151,80890580.25
5/26/2013,220,1/1/2014,369132,81444282,81259716.68
5/25/2013,221,1/1/2014,369122,81813404,81628843.34
5/24/2013,222,1/1/2014,369112,82182516,81997960.22
5/23/2013,223,1/1/2014,369102,82551618,82367067.33
5/22/2013,224,1/1/2014,369092,82920711,82736164.68
5/21/2013,225,1/1/2014,369083,83289794,83105252.25
5/20/2013,226,1/1/2014,369073,83658867,83474330.05
5/19/2013,227,1/1/2014,369063,84027930,83843398.07
5/18/2013,228,1/1/2014,369053,84396983,84212456.33
5/17/2013,229,1/1/2014,369044,84766027,84581504.82
5/16/2013,230,1/1/2014,369034,85135060,84950543.54
5/15/2013,231,1/1/2014,369024,85504085,85319572.49
5/14/2013,232,1/1/2014,369014,85873099,85688591.67
5/13/2013,233,1/1/2014,369005,86242103,86057601.08
5/12/2013,234,1/1/2014,368995,86611098,86426600.72
5/11/2013,235,1/1/2014,368985,86980083,86795590.6
5/10/2013,236,1/1/2014,368975,87349058,87164570.7
5/9/2013,237,1/1/2014,368965,87718024,87533541.04
5/8/2013,238,1/1/2014,368956,88086979,87902501.61
5/7/2013,239,1/1/2014,368946,88455925,88271452.41
5/6/2013,240,1/1/2014,368936,88824862,88640393.45
5/5/2013,241,1/1/2014,368926,89193788,89009324.71
5/4/2013,242,1/1/2014,368917,89562705,89378246.22
5/3/2013,243,1/1/2014,368907,89931611,89747157.95
5/2/2013,244,1/1/2014,368897,90300508,90116059.92
5/1/2013,245,1/1/2014,368887,90669396,90484952.12
4/30/2013,246,1/1/2014,368878,91038273,90853834.56
4/29/2013,247,1/1/2014,368868,91407141,91222707.23
4/28/2013,248,1/1/2014,368858,91775999,91591570.14
4/27/2013,249,1/1/2014,368848,92144847,91960423.28
4/26/2013,250,1/1/2014,368838,92513686,92329266.65
4/25/2013,251,1/1/2014,368829,92882515,92698100.27
4/24/2013,252,1/1/2014,368819,93251334,93066924.12
4/23/2013,253,1/1/2014,368809,93620143,93435738.2
4/22/2013,254,1/1/2014,368799,93988942,93804542.52
4/21/2013,255,1/1/2014,368790,94357732,94173337.08
4/20/2013,256,1/1/2014,368780,94726512,94542121.87
4/19/2013,257,1/1/2014,368770,95095282,94910896.9
4/18/2013,258,1/1/2014,368760,95464042,95279662.17
4/17/2013,259,1/1/2014,368751,95832793,95648417.68
4/16/2013,260,1/1/2014,368741,96201534,96017163.42
4/15/2013,261,1/1/2014,368731,96570265,96385899.41
4/14/2013,262,1/1/2014,368721,96938986,96754625.63
4/13/2013,263,1/1/2014,368712,97307698,97123342.09
4/12/2013,264,1/1/2014,368702,97676400,97492048.79
4/11/2013,265,1/1/2014,368692,98045092,97860745.72
4/10/2013,266,1/1/2014,368682,98413774,98229432.9
4/9/2013,267,1/1/2014,368673,98782447,98598110.32
4/8/2013,268,1/1/2014,368663,99151109,98966777.98
4/7/2013,269,1/1/2014,368653,99519762,99335435.87
4/6/2013,270,1/1/2014,368643,99888406,99704084.01
4/5/2013,271,1/1/2014,368633,100257039,100072722.4
4/4/2013,272,1/1/2014,368624,100625663,100441351
4/3/2013,273,1/1/2014,368614,100994277,100809969.9
4/2/2013,274,1/1/2014,368604,101362881,101178579
4/1/2013,275,1/1/2014,368594,101731476,101547178.3
3/31/2013,276,1/1/2014,368585,102100060,101915767.9
3/30/2013,277,1/1/2014,368575,102468635,102284347.7
3/29/2013,278,1/1/2014,368565,102837200,102652917.8
3/28/2013,279,1/1/2014,368555,103205756,103021478.1
3/27/2013,280,1/1/2014,368546,103574302,103390028.7
3/26/2013,281,1/1/2014,368536,103942837,103758569.5
3/25/2013,282,1/1/2014,368526,104311364,104127100.5
3/24/2013,283,1/1/2014,368516,104679880,104495621.8
3/23/2013,284,1/1/2014,368507,105048387,104864133.3
3/22/2013,285,1/1/2014,368497,105416884,105232635.1
3/21/2013,286,1/1/2014,368487,105785371,105601127.1
3/20/2013,287,1/1/2014,368477,106153848,105969609.4
3/19/2013,288,1/1/2014,368468,106522316,106338081.9
3/18/2013,289,1/1/2014,368458,106890774,106706544.7
3/17/2013,290,1/1/2014,368448,107259222,107074997.7
3/16/2013,291,1/1/2014,368438,107627660,107443440.9
3/15/2013,292,1/1/2014,368429,107996089,107811874.4
3/14/2013,293,1/1/2014,368419,108364508,108180298.2
3/13/2013,294,1/1/2014,368409,108732917,108548712.2
3/12/2013,295,1/1/2014,368399,109101316,108917116.4
3/11/2013,296,1/1/2014,368390,109469706,109285510.9
3/10/2013,297,1/1/2014,368380,109838086,109653895.6
3/9/2013,298,1/1/2014,368370,110206456,110022270.6
3/8/2013,299,1/1/2014,368360,110574816,110390635.8
3/7/2013,300,1/1/2014,368351,110943167,110758991.3
3/6/2013,301,1/1/2014,368341,111311507,111127337
3/5/2013,302,1/1/2014,368331,111679839,111495673
3/4/2013,303,1/1/2014,368321,112048160,111863999.2
3/3/2013,304,1/1/2014,368312,112416471,112232315.7
3/2/2013,305,1/1/2014,368302,112784773,112600622.4
3/1/2013,306,1/1/2014,368292,113153065,112968919.3
2/28/2013,307,1/1/2014,368282,113521348,113337206.6
2/27/2013,308,1/1/2014,368273,113889620,113705484
2/26/2013,309,1/1/2014,368263,114257883,114073751.8
2/25/2013,310,1/1/2014,368253,114626136,114442009.7
2/24/2013,311,1/1/2014,368243,114994380,114810257.9
2/23/2013,312,1/1/2014,368234,115362613,115178496.4
2/22/2013,313,1/1/2014,368224,115730837,115546725.1
2/21/2013,314,1/1/2014,368214,116099051,115914944.1
2/20/2013,315,1/1/2014,368204,116467256,116283153.3
2/19/2013,316,1/1/2014,368195,116835450,116651352.8
2/18/2013,317,1/1/2014,368185,117203635,117019542.6
2/17/2013,318,1/1/2014,368175,117571810,117387722.5
2/16/2013,319,1/1/2014,368165,117939975,117755892.8
2/15/2013,320,1/1/2014,368156,118308131,118124053.3
2/14/2013,321,1/1/2014,368146,118676277,118492204
2/13/2013,322,1/1/2014,368136,119044413,118860345
2/12/2013,323,1/1/2014,368126,119412539,119228476.3
2/11/2013,324,1/1/2014,368117,119780656,119596597.8
2/10/2013,325,1/1/2014,368107,120148763,119964709.6
2/9/2013,326,1/1/2014,368097,120516860,120332811.6
2/8/2013,327,1/1/2014,368087,120884948,120700903.9
2/7/2013,328,1/1/2014,368078,121253025,121068986.4
2/6/2013,329,1/1/2014,368068,121621093,121437059.2
2/5/2013,330,1/1/2014,368058,121989151,121805122.2
2/4/2013,331,1/1/2014,368048,122357200,122173175.5
2/3/2013,332,1/1/2014,368039,122725238,122541219.1
2/2/2013,333,1/1/2014,368029,123093267,122909252.9
2/1/2013,334,1/1/2014,368019,123461287,123277276.9
1/31/2013,335,1/1/2014,368009,123829296,123645291.3
1/30/2013,336,1/1/2014,368000,124197296,124013295.8
1/29/2013,337,1/1/2014,367990,124565286,124381290.7
1/28/2013,338,1/1/2014,367980,124933266,124749275.8
1/27/2013,339,1/1/2014,367970,125301236,125117251.1
1/26/2013,340,1/1/2014,367961,125669197,125485216.8
1/25/2013,341,1/1/2014,367951,126037148,125853172.6
1/24/2013,342,1/1/2014,367941,126405089,126221118.8
1/23/2013,343,1/1/2014,367932,126773021,126589055.2
1/22/2013,344,1/1/2014,367922,127140943,126956981.8
1/21/2013,345,1/1/2014,367912,127508855,127324898.7
1/20/2013,346,1/1/2014,367902,127876757,127692805.9
1/19/2013,347,1/1/2014,367893,128244650,128060703.3
1/18/2013,348,1/1/2014,367883,128612532,128428591
1/17/2013,349,1/1/2014,367873,128980406,128796469
1/16/2013,350,1/1/2014,367863,129348269,129164337.2
1/15/2013,351,1/1/2014,367854,129716122,129532195.7
1/14/2013,352,1/1/2014,367844,130083966,129900044.4
1/13/2013,353,1/1/2014,367834,130451800,130267883.4
1/12/2013,354,1/1/2014,367824,130819625,130635712.7
1/11/2013,355,1/1/2014,367815,131187440,131003532.2
1/10/2013,356,1/1/2014,367805,131555244,131371342
1/9/2013,357,1/1/2014,367795,131923040,131739142
1/8/2013,358,1/1/2014,367785,132290825,132106932.4
1/7/2013,359,1/1/2014,367776,132658601,132474712.9
1/6/2013,360,1/1/2014,367766,133026367,132842483.8
1/5/2013,361,1/1/2014,367756,133394123,133210244.9
1/4/2013,362,1/1/2014,367747,133761870,133577996.3
1/3/2013,363,1/1/2014,367737,134129606,133945737.9
1/2/2013,364,1/1/2014,367727,134497333,134313469.8
1/1/2013,365,1/1/2014,367717,134865051,134681192
12/31/2012,366,1/1/2014,367708,135232758,135048904.4
12/30/2012,367,1/1/2014,367698,135600456,135416607.1
12/29/2012,368,1/1/2014,367688,135968144,135784300
12/28/2012,369,1/1/2014,367678,136335822,136151983.3
12/27/2012,370,1/1/2014,367669,136703491,136519656.8
12/26/2012,371,1/1/2014,367659,137071150,136887320.5
12/25/2012,372,1/1/2014,367649,137438799,137254974.5
12/24/2012,373,1/1/2014,367639,137806439,137622618.8
12/23/2012,374,1/1/2014,367630,138174068,137990253.4
12/22/2012,375,1/1/2014,367620,138541688,138357878.2
12/21/2012,376,1/1/2014,367610,138909298,138725493.3
12/20/2012,377,1/1/2014,367600,139276899,139093098.7
12/19/2012,378,1/1/2014,367591,139644490,139460694.3
12/18/2012,379,1/1/2014,367581,140012071,139828280.2
12/17/2012,380,1/1/2014,367571,140379642,140195856.4
12/16/2012,381,1/1/2014,367562,140747204,140563422.8
12/15/2012,382,1/1/2014,367552,141114755,140930979.5
12/14/2012,383,1/1/2014,367542,141482298,141298526.5
12/13/2012,384,1/1/2014,367532,141849830,141666063.8
12/12/2012,385,1/1/2014,367523,142217353,142033591.3
12/11/2012,386,1/1/2014,367513,142584866,142401109.1
12/10/2012,387,1/1/2014,367503,142952369,142768617.1
12/9/2012,388,1/1/2014,367493,143319862,143136115.5
12/8/2012,389,1/1/2014,367484,143687346,143503604.1
12/7/2012,390,1/1/2014,367474,144054820,143871083
12/6/2012,391,1/1/2014,367464,144422284,144238552.1
12/5/2012,392,1/1/2014,367455,144789739,144606011.5
12/4/2012,393,1/1/2014,367445,145157184,144973461.2
12/3/2012,394,1/1/2014,367435,145524619,145340901.2
12/2/2012,395,1/1/2014,367425,145892044,145708331.4
12/1/2012,396,1/1/2014,367416,146259460,146075751.9
11/30/2012,397,1/1/2014,367406,146626866,146443162.7
11/29/2012,398,1/1/2014,367396,146994262,146810563.7
11/28/2012,399,1/1/2014,367386,147361648,147177955.1
11/27/2012,400,1/1/2014,367377,147729025,147545336.7
11/26/2012,401,1/1/2014,367367,148096392,147912708.6
11/25/2012,402,1/1/2014,367357,148463749,148280070.7
11/24/2012,403,1/1/2014,367348,148831097,148647423.1
11/23/2012,404,1/1/2014,367338,149198435,149014765.8
11/22/2012,405,1/1/2014,367328,149565763,149382098.8
11/21/2012,406,1/1/2014,367318,149933081,149749422.1
11/20/2012,407,1/1/2014,367309,150300390,150116735.6
11/19/2012,408,1/1/2014,367299,150667689,150484039.4
11/18/2012,409,1/1/2014,367289,151034978,150851333.5
11/17/2012,410,1/1/2014,367279,151402258,151218617.8
11/16/2012,411,1/1/2014,367270,151769527,151585892.5
11/15/2012,412,1/1/2014,367260,152136787,151953157.4
11/14/2012,413,1/1/2014,367250,152504038,152320412.6
11/13/2012,414,1/1/2014,367241,152871278,152687658
11/12/2012,415,1/1/2014,367231,153238509,153054893.8
11/11/2012,416,1/1/2014,367221,153605730,153422119.8
11/10/2012,417,1/1/2014,367211,153972942,153789336.1
11/9/2012,418,1/1/2014,367202,154340144,154156542.7
11/8/2012,419,1/1/2014,367192,154707336,154523739.5
11/7/2012,420,1/1/2014,367182,155074518,154890926.7
11/6/2012,421,1/1/2014,367173,155441690,155258104.1
11/5/2012,422,1/1/2014,367163,155808853,155625271.8
11/4/2012,423,1/1/2014,367153,156176006,155992429.8
11/3/2012,424,1/1/2014,367143,156543150,156359578
11/2/2012,425,1/1/2014,367134,156910283,156726716.6
11/1/2012,426,1/1/2014,367124,157277407,157093845.4
10/31/2012,427,1/1/2014,367114,157644522,157460964.5
10/30/2012,428,1/1/2014,367105,158011626,157828073.9
10/29/2012,429,1/1/2014,367095,158378721,158195173.5
10/28/2012,430,1/1/2014,367085,158745806,158562263.5
10/27/2012,431,1/1/2014,367075,159112881,158929343.7
10/26/2012,432,1/1/2014,367066,159479947,159296414.2
10/25/2012,433,1/1/2014,367056,159847003,159663475
10/24/2012,434,1/1/2014,367046,160214049,160030526.1
10/23/2012,435,1/1/2014,367036,160581086,160397567.4
10/22/2012,436,1/1/2014,367027,160948112,160764599.1
10/21/2012,437,1/1/2014,367017,161315130,161131621
10/20/2012,438,1/1/2014,367007,161682137,161498633.2
10/19/2012,439,1/1/2014,366998,162049135,161865635.7
10/18/2012,440,1/1/2014,366988,162416122,162232628.5
10/17/2012,441,1/1/2014,366978,162783101,162599611.5
10/16/2012,442,1/1/2014,366968,163150069,162966584.9
10/15/2012,443,1/1/2014,366959,163517028,163333548.5
10/14/2012,444,1/1/2014,366949,163883977,163700502.4
10/13/2012,445,1/1/2014,366939,164250916,164067446.6
10/12/2012,446,1/1/2014,366930,164617846,164434381.1
10/11/2012,447,1/1/2014,366920,164984766,164801305.9
10/10/2012,448,1/1/2014,366910,165351676,165168220.9
10/9/2012,449,1/1/2014,366900,165718577,165535126.3
10/8/2012,450,1/1/2014,366891,166085467,165902021.9
10/7/2012,451,1/1/2014,366881,166452348,166268907.8
10/6/2012,452,1/1/2014,366871,166819220,166635784
10/5/2012,453,1/1/2014,366862,167186081,167002650.5
10/4/2012,454,1/1/2014,366852,167552933,167369507.3
10/3/2012,455,1/1/2014,366842,167919776,167736354.4
10/2/2012,456,1/1/2014,366833,168286608,168103191.8
10/1/2012,457,1/1/2014,366823,168653431,168470019.4
9/30/2012,458,1/1/2014,366813,169020244,168836837.3
9/29/2012,459,1/1/2014,366803,169387047,169203645.6
9/28/2012,460,1/1/2014,366794,169753841,169570444.1
9/27/2012,461,1/1/2014,366784,170120625,169937232.9
9/26/2012,462,1/1/2014,366774,170487399,170304012
9/25/2012,463,1/1/2014,366765,170854164,170670781.4
9/24/2012,464,1/1/2014,366755,171220918,171037541.1
9/23/2012,465,1/1/2014,366745,171587664,171404291
9/22/2012,466,1/1/2014,366735,171954399,171771031.3
9/21/2012,467,1/1/2014,366726,172321125,172137761.8
9/20/2012,468,1/1/2014,366716,172687841,172504482.7
9/19/2012,469,1/1/2014,366706,173054547,172871193.8
9/18/2012,470,1/1/2014,366697,173421244,173237895.2
9/17/2012,471,1/1/2014,366687,173787930,173604587
9/16/2012,472,1/1/2014,366677,174154608,173971269
9/15/2012,473,1/1/2014,366667,174521275,174337941.3
9/14/2012,474,1/1/2014,366658,174887933,174704603.9
9/13/2012,475,1/1/2014,366648,175254581,175071256.8
9/12/2012,476,1/1/2014,366638,175621219,175437899.9
9/11/2012,477,1/1/2014,366629,175987848,175804533.4
9/10/2012,478,1/1/2014,366619,176354467,176171157.2
9/9/2012,479,1/1/2014,366609,176721076,176537771.2
9/8/2012,480,1/1/2014,366600,177087675,176904375.6
9/7/2012,481,1/1/2014,366590,177454265,177270970.3
9/6/2012,482,1/1/2014,366580,177820845,177637555.2
