"country_popio","region","age_name","sex","pc_mean","agegr"
"China","East Asia","80+ years","Both sexes",0.119073,"80"
"China","East Asia","50-69 years","Both sexes",0.177496,"50"
"China","East Asia","70+ years","Both sexes",0.160855,"70"
"Dem Peoples Rep of Korea","East Asia","30-34 years","Males",0.0883152,"30"
"Dem Peoples Rep of Korea","East Asia","35-39 years","Males",0.142833,"35"
"Dem Peoples Rep of Korea","East Asia","40-44 years","Males",0.260516,"40"
"Dem Peoples Rep of Korea","East Asia","45-49 years","Males",0.320933,"45"
"Dem Peoples Rep of Korea","East Asia","50-54 years","Males",0.364607,"50"
"Dem Peoples Rep of Korea","East Asia","55-59 years","Males",0.396909,"55"
"Dem Peoples Rep of Korea","East Asia","60-64 years","Males",0.426238,"60"
"Dem Peoples Rep of Korea","East Asia","65-69 years","Males",0.437292,"65"
"Dem Peoples Rep of Korea","East Asia","70-74 years","Males",0.42382,"70"
"Dem Peoples Rep of Korea","East Asia","75-79 years","Males",0.399576,"75"
"Dem Peoples Rep of Korea","East Asia","80+ years","Males",0.331575,"80"
"Dem Peoples Rep of Korea","East Asia","50-69 years","Males",0.408923,"50"
"Dem Peoples Rep of Korea","East Asia","70+ years","Males",0.406009,"70"
"Dem Peoples Rep of Korea","East Asia","30-34 years","Females",0.051012,"30"
"Dem Peoples Rep of Korea","East Asia","35-39 years","Females",0.102689,"35"
"Dem Peoples Rep of Korea","East Asia","40-44 years","Females",0.1524,"40"
"Dem Peoples Rep of Korea","East Asia","45-49 years","Females",0.164206,"45"
"Dem Peoples Rep of Korea","East Asia","50-54 years","Females",0.181318,"50"
"Dem Peoples Rep of Korea","East Asia","55-59 years","Females",0.199763,"55"
"Dem Peoples Rep of Korea","East Asia","60-64 years","Females",0.220329,"60"
"Dem Peoples Rep of Korea","East Asia","65-69 years","Females",0.239309,"65"
"Dem Peoples Rep of Korea","East Asia","70-74 years","Females",0.255024,"70"
"Dem Peoples Rep of Korea","East Asia","75-79 years","Females",0.240522,"75"
"Dem Peoples Rep of Korea","East Asia","80+ years","Females",0.20441,"80"
"Dem Peoples Rep of Korea","East Asia","50-69 years","Females",0.215518,"50"
"Dem Peoples Rep of Korea","East Asia","70+ years","Females",0.236679,"70"
"Dem Peoples Rep of Korea","East Asia","30-34 years","Both sexes",0.0745953,"30"
"Dem Peoples Rep of Korea","East Asia","35-39 years","Both sexes",0.126876,"35"
"Dem Peoples Rep of Korea","East Asia","40-44 years","Both sexes",0.218908,"40"
"Dem Peoples Rep of Korea","East Asia","45-49 years","Both sexes",0.261744,"45"
"Dem Peoples Rep of Korea","East Asia","50-54 years","Both sexes",0.296057,"50"
"Dem Peoples Rep of Korea","East Asia","55-59 years","Both sexes",0.32301,"55"
"Dem Peoples Rep of Korea","East Asia","60-64 years","Both sexes",0.344104,"60"
"Dem Peoples Rep of Korea","East Asia","65-69 years","Both sexes",0.347368,"65"
"Dem Peoples Rep of Korea","East Asia","70-74 years","Both sexes",0.332461,"70"
"Dem Peoples Rep of Korea","East Asia","75-79 years","Both sexes",0.293979,"75"
"Dem Peoples Rep of Korea","East Asia","80+ years","Both sexes",0.229449,"80"
"Dem Peoples Rep of Korea","East Asia","50-69 years","Both sexes",0.33026,"50"
"Dem Peoples Rep of Korea","East Asia","70+ years","Both sexes",0.298124,"70"
"Taiwan","East Asia","30-34 years","Males",0.0754478,"30"
"Taiwan","East Asia","35-39 years","Males",0.12696,"35"
"Taiwan","East Asia","40-44 years","Males",0.228445,"40"
"Taiwan","East Asia","45-49 years","Males",0.264291,"45"
"Taiwan","East Asia","50-54 years","Males",0.267836,"50"
"Taiwan","East Asia","55-59 years","Males",0.288282,"55"
"Taiwan","East Asia","60-64 years","Males",0.293865,"60"
"Taiwan","East Asia","65-69 years","Males",0.292251,"65"
"Taiwan","East Asia","70-74 years","Males",0.299176,"70"
"Taiwan","East Asia","75-79 years","Males",0.282583,"75"
"Taiwan","East Asia","80+ years","Males",0.240616,"80"
"Taiwan","East Asia","50-69 years","Males",0.284752,"50"
"Taiwan","East Asia","70+ years","Males",0.270224,"70"
"Taiwan","East Asia","30-34 years","Females",0.0274515,"30"
"Taiwan","East Asia","35-39 years","Females",0.0749159,"35"
"Taiwan","East Asia","40-44 years","Females",0.120389,"40"
"Taiwan","East Asia","45-49 years","Females",0.114304,"45"
"Taiwan","East Asia","50-54 years","Females",0.115432,"50"
"Taiwan","East Asia","55-59 years","Females",0.12199,"55"
"Taiwan","East Asia","60-64 years","Females",0.129837,"60"
"Taiwan","East Asia","65-69 years","Females",0.128823,"65"
"Taiwan","East Asia","70-74 years","Females",0.137654,"70"
"Taiwan","East Asia","75-79 years","Females",0.127931,"75"
"Taiwan","East Asia","80+ years","Females",0.118193,"80"
"Taiwan","East Asia","50-69 years","Females",0.124155,"50"
"Taiwan","East Asia","70+ years","Females",0.12634,"70"
"Taiwan","East Asia","30-34 years","Both sexes",0.0625548,"30"
"Taiwan","East Asia","35-39 years","Both sexes",0.114006,"35"
"Taiwan","East Asia","40-44 years","Both sexes",0.201548,"40"
"Taiwan","East Asia","45-49 years","Both sexes",0.223595,"45"
"Taiwan","East Asia","50-54 years","Both sexes",0.223565,"50"
"Taiwan","East Asia","55-59 years","Both sexes",0.236598,"55"
"Taiwan","East Asia","60-64 years","Both sexes",0.238017,"60"
"Taiwan","East Asia","65-69 years","Both sexes",0.2319,"65"
"Taiwan","East Asia","70-74 years","Both sexes",0.233639,"70"
"Taiwan","East Asia","75-79 years","Both sexes",0.21856,"75"
"Taiwan","East Asia","80+ years","Both sexes",0.186901,"80"
"Taiwan","East Asia","50-69 years","Both sexes",0.232471,"50"
"Taiwan","East Asia","70+ years","Both sexes",0.209485,"70"
"Cambodia","Southeast Asia ","30-34 years","Males",0.0809039,"30"
"Cambodia","Southeast Asia ","35-39 years","Males",0.129898,"35"
"Cambodia","Southeast Asia ","40-44 years","Males",0.188363,"40"
"Cambodia","Southeast Asia ","45-49 years","Males",0.226293,"45"
"Cambodia","Southeast Asia ","50-54 years","Males",0.258626,"50"
"Cambodia","Southeast Asia ","55-59 years","Males",0.267163,"55"
"Cambodia","Southeast Asia ","60-64 years","Males",0.265581,"60"
"Cambodia","Southeast Asia ","65-69 years","Males",0.260371,"65"
"Cambodia","Southeast Asia ","70-74 years","Males",0.245904,"70"
"Cambodia","Southeast Asia ","75-79 years","Males",0.223068,"75"
"Cambodia","Southeast Asia ","80+ years","Males",0.172428,"80"
"Cambodia","Southeast Asia ","50-69 years","Males",0.263023,"50"
"Cambodia","Southeast Asia ","70+ years","Males",0.224599,"70"
"Cambodia","Southeast Asia ","30-34 years","Females",0.0248848,"30"
"Cambodia","Southeast Asia ","35-39 years","Females",0.0477979,"35"
"Cambodia","Southeast Asia ","40-44 years","Females",0.082924,"40"
"Cambodia","Southeast Asia ","45-49 years","Females",0.0946512,"45"
"Cambodia","Southeast Asia ","50-54 years","Females",0.125785,"50"
"Cambodia","Southeast Asia ","55-59 years","Females",0.133253,"55"
"Cambodia","Southeast Asia ","60-64 years","Females",0.0990569,"60"
"Cambodia","Southeast Asia ","65-69 years","Females",0.0973553,"65"
"Cambodia","Southeast Asia ","70-74 years","Females",0.0833002,"70"
"Cambodia","Southeast Asia ","75-79 years","Females",0.0746905,"75"
"Cambodia","Southeast Asia ","80+ years","Females",0.0489958,"80"
"Cambodia","Southeast Asia ","50-69 years","Females",0.113566,"50"
"Cambodia","Southeast Asia ","70+ years","Females",0.0719542,"70"
"Cambodia","Southeast Asia ","30-34 years","Both sexes",0.0589606,"30"
"Cambodia","Southeast Asia ","35-39 years","Both sexes",0.098549,"35"
"Cambodia","Southeast Asia ","40-44 years","Both sexes",0.146821,"40"
"Cambodia","Southeast Asia ","45-49 years","Both sexes",0.172366,"45"
"Cambodia","Southeast Asia ","50-54 years","Both sexes",0.202252,"50"
"Cambodia","Southeast Asia ","55-59 years","Both sexes",0.208922,"55"
"Cambodia","Southeast Asia ","60-64 years","Both sexes",0.187618,"60"
"Cambodia","Southeast Asia ","65-69 years","Both sexes",0.17737,"65"
"Cambodia","Southeast Asia ","70-74 years","Both sexes",0.152633,"70"
"Cambodia","Southeast Asia ","75-79 years","Both sexes",0.129163,"75"
"Cambodia","Southeast Asia ","80+ years","Both sexes",0.0896289,"80"
"Cambodia","Southeast Asia ","50-69 years","Both sexes",0.194655,"50"
"Cambodia","Southeast Asia ","70+ years","Both sexes",0.130718,"70"
"Indonesia","Southeast Asia ","30-34 years","Males",0.0934137,"30"
"Indonesia","Southeast Asia ","35-39 years","Males",0.13057,"35"
"Indonesia","Southeast Asia ","40-44 years","Males",0.197011,"40"
"Indonesia","Southeast Asia ","45-49 years","Males",0.213007,"45"
"Indonesia","Southeast Asia ","50-54 years","Males",0.245807,"50"
"Indonesia","Southeast Asia ","55-59 years","Males",0.255586,"55"
"Indonesia","Southeast Asia ","60-64 years","Males",0.268171,"60"
"Indonesia","Southeast Asia ","65-69 years","Males",0.283756,"65"
"Indonesia","Southeast Asia ","70-74 years","Males",0.268236,"70"
"Indonesia","Southeast Asia ","75-79 years","Males",0.243478,"75"
"Indonesia","Southeast Asia ","80+ years","Males",0.192509,"80"
"Indonesia","Southeast Asia ","50-69 years","Males",0.26218,"50"
"Indonesia","Southeast Asia ","70+ years","Males",0.244158,"70"
"Indonesia","Southeast Asia ","30-34 years","Females",0.016277,"30"
"Indonesia","Southeast Asia ","35-39 years","Females",0.0285111,"35"
"Indonesia","Southeast Asia ","40-44 years","Females",0.0544299,"40"
"Indonesia","Southeast Asia ","45-49 years","Females",0.0580246,"45"
"Indonesia","Southeast Asia ","50-54 years","Females",0.0703014,"50"
"Indonesia","Southeast Asia ","55-59 years","Females",0.0698745,"55"
"Indonesia","Southeast Asia ","60-64 years","Females",0.0801814,"60"
"Indonesia","Southeast Asia ","65-69 years","Females",0.0885153,"65"
"Indonesia","Southeast Asia ","70-74 years","Females",0.0810824,"70"
"Indonesia","Southeast Asia ","75-79 years","Females",0.0711979,"75"
"Indonesia","Southeast Asia ","80+ years","Females",0.0507592,"80"
"Indonesia","Southeast Asia ","50-69 years","Females",0.0774267,"50"
"Indonesia","Southeast Asia ","70+ years","Females",0.0698578,"70"
"Indonesia","Southeast Asia ","30-34 years","Both sexes",0.0637637,"30"
"Indonesia","Southeast Asia ","35-39 years","Both sexes",0.0888559,"35"
"Indonesia","Southeast Asia ","40-44 years","Both sexes",0.139086,"40"
"Indonesia","Southeast Asia ","45-49 years","Both sexes",0.150541,"45"
"Indonesia","Southeast Asia ","50-54 years","Both sexes",0.174198,"50"
"Indonesia","Southeast Asia ","55-59 years","Both sexes",0.179454,"55"
"Indonesia","Southeast Asia ","60-64 years","Both sexes",0.185372,"60"
"Indonesia","Southeast Asia ","65-69 years","Both sexes",0.19241,"65"
"Indonesia","Southeast Asia ","70-74 years","Both sexes",0.174743,"70"
"Indonesia","Southeast Asia ","75-79 years","Both sexes",0.151373,"75"
"Indonesia","Southeast Asia ","80+ years","Both sexes",0.109725,"80"
"Indonesia","Southeast Asia ","50-69 years","Both sexes",0.182599,"50"
"Indonesia","Southeast Asia ","70+ years","Both sexes",0.151561,"70"
"Lao PDR","Southeast Asia ","30-34 years","Males",0.085661,"30"
"Lao PDR","Southeast Asia ","35-39 years","Males",0.123091,"35"
"Lao PDR","Southeast Asia ","40-44 years","Males",0.177514,"40"
"Lao PDR","Southeast Asia ","45-49 years","Males",0.214061,"45"
"Lao PDR","Southeast Asia ","50-54 years","Males",0.238265,"50"
"Lao PDR","Southeast Asia ","55-59 years","Males",0.255235,"55"
"Lao PDR","Southeast Asia ","60-64 years","Males",0.24576,"60"
"Lao PDR","Southeast Asia ","65-69 years","Males",0.259622,"65"
"Lao PDR","Southeast Asia ","70-74 years","Males",0.245349,"70"
"Lao PDR","Southeast Asia ","75-79 years","Males",0.228949,"75"
"Lao PDR","Southeast Asia ","80+ years","Males",0.168298,"80"
"Lao PDR","Southeast Asia ","50-69 years","Males",0.249668,"50"
"Lao PDR","Southeast Asia ","70+ years","Males",0.223557,"70"
"Lao PDR","Southeast Asia ","30-34 years","Females",0.0335778,"30"
"Lao PDR","Southeast Asia ","35-39 years","Females",0.0658409,"35"
"Lao PDR","Southeast Asia ","40-44 years","Females",0.100028,"40"
"Lao PDR","Southeast Asia ","45-49 years","Females",0.106627,"45"
"Lao PDR","Southeast Asia ","50-54 years","Females",0.126024,"50"
"Lao PDR","Southeast Asia ","55-59 years","Females",0.12564,"55"
"Lao PDR","Southeast Asia ","60-64 years","Females",0.128035,"60"
"Lao PDR","Southeast Asia ","65-69 years","Females",0.127412,"65"
"Lao PDR","Southeast Asia ","70-74 years","Females",0.116053,"70"
"Lao PDR","Southeast Asia ","75-79 years","Females",0.0988472,"75"
"Lao PDR","Southeast Asia ","80+ years","Females",0.0665867,"80"
"Lao PDR","Southeast Asia ","50-69 years","Females",0.126946,"50"
"Lao PDR","Southeast Asia ","70+ years","Females",0.0974271,"70"
"Lao PDR","Southeast Asia ","30-34 years","Both sexes",0.0636692,"30"
"Lao PDR","Southeast Asia ","35-39 years","Both sexes",0.0981373,"35"
"Lao PDR","Southeast Asia ","40-44 years","Both sexes",0.14502,"40"
"Lao PDR","Southeast Asia ","45-49 years","Both sexes",0.170681,"45"
"Lao PDR","Southeast Asia ","50-54 years","Both sexes",0.192817,"50"
"Lao PDR","Southeast Asia ","55-59 years","Both sexes",0.202494,"55"
"Lao PDR","Southeast Asia ","60-64 years","Both sexes",0.193018,"60"
"Lao PDR","Southeast Asia ","65-69 years","Both sexes",0.197759,"65"
"Lao PDR","Southeast Asia ","70-74 years","Both sexes",0.181213,"70"
"Lao PDR","Southeast Asia ","75-79 years","Both sexes",0.160165,"75"
"Lao PDR","Southeast Asia ","80+ years","Both sexes",0.108827,"80"
"Lao PDR","Southeast Asia ","50-69 years","Both sexes",0.196715,"50"
"Lao PDR","Southeast Asia ","70+ years","Both sexes",0.156931,"70"
"Malaysia","Southeast Asia ","30-34 years","Males",0.0602307,"30"
"Malaysia","Southeast Asia ","35-39 years","Males",0.0793946,"35"
"Malaysia","Southeast Asia ","40-44 years","Males",0.129614,"40"
"Malaysia","Southeast Asia ","45-49 years","Males",0.174851,"45"
"Malaysia","Southeast Asia ","50-54 years","Males",0.209161,"50"
"Malaysia","Southeast Asia ","55-59 years","Males",0.232631,"55"
"Malaysia","Southeast Asia ","60-64 years","Males",0.234952,"60"
"Malaysia","Southeast Asia ","65-69 years","Males",0.239353,"65"
"Malaysia","Southeast Asia ","70-74 years","Males",0.233066,"70"
"Malaysia","Southeast Asia ","75-79 years","Males",0.209034,"75"
"Malaysia","Southeast Asia ","80+ years","Males",0.18388,"80"
"Malaysia","Southeast Asia ","50-69 years","Males",0.229349,"50"
"Malaysia","Southeast Asia ","70+ years","Males",0.214986,"70"
"Malaysia","Southeast Asia ","30-34 years","Females",0.00895394,"30"
"Malaysia","Southeast Asia ","35-39 years","Females",0.0165787,"35"
"Malaysia","Southeast Asia ","40-44 years","Females",0.0336803,"40"
"Malaysia","Southeast Asia ","45-49 years","Females",0.0386649,"45"
"Malaysia","Southeast Asia ","50-54 years","Females",0.0485927,"50"
"Malaysia","Southeast Asia ","55-59 years","Females",0.0466124,"55"
"Malaysia","Southeast Asia ","60-64 years","Females",0.0577364,"60"
"Malaysia","Southeast Asia ","65-69 years","Females",0.0858469,"65"
"Malaysia","Southeast Asia ","70-74 years","Females",0.084104,"70"
"Malaysia","Southeast Asia ","75-79 years","Females",0.0816595,"75"
"Malaysia","Southeast Asia ","80+ years","Females",0.0769703,"80"
"Malaysia","Southeast Asia ","50-69 years","Females",0.0599211,"50"
"Malaysia","Southeast Asia ","70+ years","Females",0.0813321,"70"
"Malaysia","Southeast Asia ","30-34 years","Both sexes",0.0477537,"30"
"Malaysia","Southeast Asia ","35-39 years","Both sexes",0.0625376,"35"
"Malaysia","Southeast Asia ","40-44 years","Both sexes",0.100543,"40"
"Malaysia","Southeast Asia ","45-49 years","Both sexes",0.12999,"45"
"Malaysia","Southeast Asia ","50-54 years","Both sexes",0.151929,"50"
"Malaysia","Southeast Asia ","55-59 years","Both sexes",0.166344,"55"
"Malaysia","Southeast Asia ","60-64 years","Both sexes",0.169353,"60"
"Malaysia","Southeast Asia ","65-69 years","Both sexes",0.181385,"65"
"Malaysia","Southeast Asia ","70-74 years","Both sexes",0.170758,"70"
"Malaysia","Southeast Asia ","75-79 years","Both sexes",0.149727,"75"
"Malaysia","Southeast Asia ","80+ years","Both sexes",0.128449,"80"
"Malaysia","Southeast Asia ","50-69 years","Both sexes",0.167471,"50"
"Malaysia","Southeast Asia ","70+ years","Both sexes",0.153847,"70"
"Maldives","Southeast Asia ","30-34 years","Males",0.0694345,"30"
"Maldives","Southeast Asia ","35-39 years","Males",0.0798234,"35"
"Maldives","Southeast Asia ","40-44 years","Males",0.0977816,"40"
"Maldives","Southeast Asia ","45-49 years","Males",0.116434,"45"
"Maldives","Southeast Asia ","50-54 years","Males",0.152968,"50"
"Maldives","Southeast Asia ","55-59 years","Males",0.132806,"55"
"Maldives","Southeast Asia ","60-64 years","Males",0.14597,"60"
"Maldives","Southeast Asia ","65-69 years","Males",0.145312,"65"
"Maldives","Southeast Asia ","70-74 years","Males",0.142733,"70"
"Maldives","Southeast Asia ","75-79 years","Males",0.131981,"75"
"Maldives","Southeast Asia ","80+ years","Males",0.102491,"80"
"Maldives","Southeast Asia ","50-69 years","Males",0.144649,"50"
"Maldives","Southeast Asia ","70+ years","Males",0.129164,"70"
"Maldives","Southeast Asia ","30-34 years","Females",0.00832863,"30"
"Maldives","Southeast Asia ","35-39 years","Females",0.0195814,"35"
"Maldives","Southeast Asia ","40-44 years","Females",0.0305457,"40"
"Maldives","Southeast Asia ","45-49 years","Females",0.0398496,"45"
"Maldives","Southeast Asia ","50-54 years","Females",0.0684954,"50"
"Maldives","Southeast Asia ","55-59 years","Females",0.0612805,"55"
"Maldives","Southeast Asia ","60-64 years","Females",0.0744487,"60"
"Maldives","Southeast Asia ","65-69 years","Females",0.0921011,"65"
"Maldives","Southeast Asia ","70-74 years","Females",0.0812095,"70"
"Maldives","Southeast Asia ","75-79 years","Females",0.0732136,"75"
"Maldives","Southeast Asia ","80+ years","Females",0.0645938,"80"
"Maldives","Southeast Asia ","50-69 years","Females",0.0756414,"50"
"Maldives","Southeast Asia ","70+ years","Females",0.074591,"70"
"Maldives","Southeast Asia ","30-34 years","Both sexes",0.047682,"30"
"Maldives","Southeast Asia ","35-39 years","Both sexes",0.0575994,"35"
"Maldives","Southeast Asia ","40-44 years","Both sexes",0.070106,"40"
"Maldives","Southeast Asia ","45-49 years","Both sexes",0.0834956,"45"
"Maldives","Southeast Asia ","50-54 years","Both sexes",0.116721,"50"
"Maldives","Southeast Asia ","55-59 years","Both sexes",0.103573,"55"
"Maldives","Southeast Asia ","60-64 years","Both sexes",0.117206,"60"
"Maldives","Southeast Asia ","65-69 years","Both sexes",0.123244,"65"
"Maldives","Southeast Asia ","70-74 years","Both sexes",0.118287,"70"
"Maldives","Southeast Asia ","75-79 years","Both sexes",0.110717,"75"
"Maldives","Southeast Asia ","80+ years","Both sexes",0.0880188,"80"
"Maldives","Southeast Asia ","50-69 years","Both sexes",0.116031,"50"
"Maldives","Southeast Asia ","70+ years","Both sexes",0.108345,"70"
"Myanmar","Southeast Asia ","30-34 years","Males",0.0315932,"30"
"Myanmar","Southeast Asia ","35-39 years","Males",0.0534572,"35"
"Myanmar","Southeast Asia ","40-44 years","Males",0.0877367,"40"
"Myanmar","Southeast Asia ","45-49 years","Males",0.123697,"45"
"Myanmar","Southeast Asia ","50-54 years","Males",0.151735,"50"
"Myanmar","Southeast Asia ","55-59 years","Males",0.182122,"55"
"Myanmar","Southeast Asia ","60-64 years","Males",0.203353,"60"
"Myanmar","Southeast Asia ","65-69 years","Males",0.213812,"65"
"Myanmar","Southeast Asia ","70-74 years","Males",0.215371,"70"
"Myanmar","Southeast Asia ","75-79 years","Males",0.202803,"75"
"Myanmar","Southeast Asia ","80+ years","Males",0.141792,"80"
"Myanmar","Southeast Asia ","50-69 years","Males",0.183356,"50"
"Myanmar","Southeast Asia ","70+ years","Males",0.194509,"70"
"Myanmar","Southeast Asia ","30-34 years","Females",0.0132542,"30"
"Myanmar","Southeast Asia ","35-39 years","Females",0.028899,"35"
"Myanmar","Southeast Asia ","40-44 years","Females",0.0561878,"40"
"Myanmar","Southeast Asia ","45-49 years","Females",0.081741,"45"
"Myanmar","Southeast Asia ","50-54 years","Females",0.114285,"50"
"Myanmar","Southeast Asia ","55-59 years","Females",0.132211,"55"
"Myanmar","Southeast Asia ","60-64 years","Females",0.166121,"60"
"Myanmar","Southeast Asia ","65-69 years","Females",0.180592,"65"
"Myanmar","Southeast Asia ","70-74 years","Females",0.180345,"70"
"Myanmar","Southeast Asia ","75-79 years","Females",0.166411,"75"
"Myanmar","Southeast Asia ","80+ years","Females",0.124038,"80"
"Myanmar","Southeast Asia ","50-69 years","Females",0.146341,"50"
"Myanmar","Southeast Asia ","70+ years","Females",0.160116,"70"
"Myanmar","Southeast Asia ","30-34 years","Both sexes",0.025163,"30"
"Myanmar","Southeast Asia ","35-39 years","Both sexes",0.0445633,"35"
"Myanmar","Southeast Asia ","40-44 years","Both sexes",0.0763563,"40"
"Myanmar","Southeast Asia ","45-49 years","Both sexes",0.10862,"45"
"Myanmar","Southeast Asia ","50-54 years","Both sexes",0.138068,"50"
"Myanmar","Southeast Asia ","55-59 years","Both sexes",0.162641,"55"
"Myanmar","Southeast Asia ","60-64 years","Both sexes",0.188206,"60"
"Myanmar","Southeast Asia ","65-69 years","Both sexes",0.19922,"65"
"Myanmar","Southeast Asia ","70-74 years","Both sexes",0.19845,"70"
"Myanmar","Southeast Asia ","75-79 years","Both sexes",0.18419,"75"
"Myanmar","Southeast Asia ","80+ years","Both sexes",0.131684,"80"
"Myanmar","Southeast Asia ","50-69 years","Both sexes",0.168636,"50"
"Myanmar","Southeast Asia ","70+ years","Both sexes",0.176824,"70"
"Philippines","Southeast Asia ","30-34 years","Males",0.130204,"30"
"Philippines","Southeast Asia ","35-39 years","Males",0.175718,"35"
"Philippines","Southeast Asia ","40-44 years","Males",0.228407,"40"
"Philippines","Southeast Asia ","45-49 years","Males",0.261754,"45"
"Philippines","Southeast Asia ","50-54 years","Males",0.288582,"50"
"Philippines","Southeast Asia ","55-59 years","Males",0.305168,"55"
"Philippines","Southeast Asia ","60-64 years","Males",0.298124,"60"
"Philippines","Southeast Asia ","65-69 years","Males",0.28594,"65"
"Philippines","Southeast Asia ","70-74 years","Males",0.237777,"70"
"Philippines","Southeast Asia ","75-79 years","Males",0.2103,"75"
"Philippines","Southeast Asia ","80+ years","Males",0.147124,"80"
"Philippines","Southeast Asia ","50-69 years","Males",0.295145,"50"
"Philippines","Southeast Asia ","70+ years","Males",0.207984,"70"
"Philippines","Southeast Asia ","30-34 years","Females",0.0356593,"30"
"Philippines","Southeast Asia ","35-39 years","Females",0.0398426,"35"
"Philippines","Southeast Asia ","40-44 years","Females",0.0600925,"40"
"Philippines","Southeast Asia ","45-49 years","Females",0.0801035,"45"
"Philippines","Southeast Asia ","50-54 years","Females",0.114741,"50"
"Philippines","Southeast Asia ","55-59 years","Females",0.124244,"55"
"Philippines","Southeast Asia ","60-64 years","Females",0.124586,"60"
"Philippines","Southeast Asia ","65-69 years","Females",0.125199,"65"
"Philippines","Southeast Asia ","70-74 years","Females",0.115782,"70"
"Philippines","Southeast Asia ","75-79 years","Females",0.0993136,"75"
"Philippines","Southeast Asia ","80+ years","Females",0.0738202,"80"
"Philippines","Southeast Asia ","50-69 years","Females",0.12212,"50"
"Philippines","Southeast Asia ","70+ years","Females",0.0976168,"70"
"Philippines","Southeast Asia ","30-34 years","Both sexes",0.100514,"30"
"Philippines","Southeast Asia ","35-39 years","Both sexes",0.130859,"35"
"Philippines","Southeast Asia ","40-44 years","Both sexes",0.172572,"40"
"Philippines","Southeast Asia ","45-49 years","Both sexes",0.201679,"45"
"Philippines","Southeast Asia ","50-54 years","Both sexes",0.230659,"50"
"Philippines","Southeast Asia ","55-59 years","Both sexes",0.24259,"55"
"Philippines","Southeast Asia ","60-64 years","Both sexes",0.23444,"60"
"Philippines","Southeast Asia ","65-69 years","Both sexes",0.220797,"65"
"Philippines","Southeast Asia ","70-74 years","Both sexes",0.181361,"70"
"Philippines","Southeast Asia ","75-79 years","Both sexes",0.15601,"75"
"Philippines","Southeast Asia ","80+ years","Both sexes",0.104695,"80"
"Philippines","Southeast Asia ","50-69 years","Both sexes",0.233007,"50"
"Philippines","Southeast Asia ","70+ years","Both sexes",0.152566,"70"
"Sri Lanka","Southeast Asia ","30-34 years","Males",0.0372928,"30"
"Sri Lanka","Southeast Asia ","35-39 years","Males",0.063626,"35"
"Sri Lanka","Southeast Asia ","40-44 years","Males",0.121531,"40"
"Sri Lanka","Southeast Asia ","45-49 years","Males",0.149916,"45"
"Sri Lanka","Southeast Asia ","50-54 years","Males",0.175145,"50"
"Sri Lanka","Southeast Asia ","55-59 years","Males",0.172032,"55"
"Sri Lanka","Southeast Asia ","60-64 years","Males",0.194633,"60"
"Sri Lanka","Southeast Asia ","65-69 years","Males",0.181728,"65"
"Sri Lanka","Southeast Asia ","70-74 years","Males",0.180915,"70"
"Sri Lanka","Southeast Asia ","75-79 years","Males",0.13485,"75"
"Sri Lanka","Southeast Asia ","80+ years","Males",0.108327,"80"
"Sri Lanka","Southeast Asia ","50-69 years","Males",0.18118,"50"
"Sri Lanka","Southeast Asia ","70+ years","Males",0.144873,"70"
"Sri Lanka","Southeast Asia ","30-34 years","Females",0.0073467,"30"
"Sri Lanka","Southeast Asia ","35-39 years","Females",0.0110239,"35"
